trial,epochs,Min_subtype,Min subclass accuracy,Max_subtype,Max subclass accuracy
0.0,0.0,7.0,0.7291666666666666,4.0,0.9289940828402367
0.0,1.0,0.0,0.7027027027027027,5.0,0.9719626168224299
0.0,2.0,7.0,0.7604166666666666,4.0,0.9319526627218935
0.0,3.0,7.0,0.78125,4.0,0.9349112426035503
0.0,4.0,7.0,0.7864583333333334,4.0,0.9378698224852071
0.0,5.0,6.0,0.7703349282296651,4.0,0.9270216962524654
0.0,6.0,1.0,0.780564263322884,4.0,0.9595660749506904
0.0,7.0,1.0,0.7962382445141066,4.0,0.9497041420118343
0.0,8.0,1.0,0.7899686520376176,5.0,0.9532710280373832
0.0,9.0,6.0,0.7990430622009569,4.0,0.9378698224852071
0.0,10.0,1.0,0.7711598746081505,5.0,0.9719626168224299
0.0,11.0,1.0,0.7899686520376176,4.0,0.9585798816568047
0.0,12.0,6.0,0.8086124401913876,0.0,0.963963963963964
0.0,13.0,1.0,0.7899686520376176,5.0,0.9672897196261683
0.0,14.0,1.0,0.8213166144200627,0.0,0.954954954954955
0.0,15.0,1.0,0.8025078369905956,4.0,0.9546351084812623
0.0,16.0,1.0,0.7931034482758621,4.0,0.9595660749506904
0.0,17.0,7.0,0.8229166666666666,0.0,0.9459459459459459
0.0,18.0,1.0,0.8181818181818182,4.0,0.9408284023668639
0.0,19.0,7.0,0.8125,0.0,0.9369369369369369
0.0,20.0,1.0,0.7962382445141066,5.0,0.9579439252336449
0.0,21.0,1.0,0.8150470219435737,5.0,0.9485981308411215
0.0,22.0,1.0,0.799373040752351,5.0,0.9719626168224299
0.0,23.0,1.0,0.8087774294670846,5.0,0.9579439252336449
0.0,24.0,1.0,0.8338557993730408,0.0,0.9459459459459459
0.0,25.0,1.0,0.8150470219435737,5.0,0.9626168224299065
0.0,26.0,1.0,0.799373040752351,5.0,0.9719626168224299
0.0,27.0,7.0,0.828125,0.0,0.9369369369369369
0.0,28.0,1.0,0.8025078369905956,4.0,0.9437869822485208
0.0,29.0,1.0,0.8087774294670846,5.0,0.9579439252336449
0.0,30.0,1.0,0.8025078369905956,4.0,0.9516765285996055
0.0,31.0,1.0,0.8213166144200627,5.0,0.9345794392523364
0.0,32.0,1.0,0.799373040752351,4.0,0.9644970414201184
0.0,33.0,1.0,0.7962382445141066,5.0,0.9719626168224299
0.0,34.0,1.0,0.7931034482758621,5.0,0.9672897196261683
0.0,35.0,6.0,0.8038277511961722,0.0,0.9459459459459459
0.0,36.0,6.0,0.8086124401913876,0.0,0.954954954954955
0.0,37.0,1.0,0.8181818181818182,5.0,0.9485981308411215
0.0,38.0,1.0,0.8275862068965517,5.0,0.9485981308411215
0.0,39.0,1.0,0.8213166144200627,5.0,0.9439252336448598
0.0,40.0,1.0,0.8401253918495298,0.0,0.9459459459459459
0.0,41.0,1.0,0.8150470219435737,5.0,0.9579439252336449
0.0,42.0,1.0,0.8275862068965517,4.0,0.9418145956607495
0.0,43.0,1.0,0.8275862068965517,4.0,0.9358974358974359
0.0,44.0,1.0,0.8119122257053292,4.0,0.9575936883629191
0.0,45.0,1.0,0.8275862068965517,4.0,0.9388560157790927
0.0,46.0,1.0,0.8244514106583072,5.0,0.9439252336448598
0.0,47.0,1.0,0.8181818181818182,5.0,0.9626168224299065
0.0,48.0,1.0,0.799373040752351,5.0,0.9719626168224299
0.0,49.0,1.0,0.8056426332288401,4.0,0.9536489151873767
0.0,50.0,1.0,0.8056426332288401,5.0,0.9672897196261683
0.0,51.0,1.0,0.8244514106583072,5.0,0.9485981308411215
0.0,52.0,1.0,0.8275862068965517,0.0,0.9369369369369369
0.0,53.0,1.0,0.8213166144200627,5.0,0.9439252336448598
0.0,54.0,1.0,0.8213166144200627,4.0,0.9408284023668639
0.0,55.0,1.0,0.8213166144200627,5.0,0.9626168224299065
0.0,56.0,1.0,0.8275862068965517,5.0,0.9532710280373832
0.0,57.0,1.0,0.8025078369905956,5.0,0.9719626168224299
1.0,0.0,1.0,0.8463949843260188,5.0,0.9345794392523364
1.0,1.0,2.0,0.8011363636363636,5.0,0.9672897196261683
1.0,2.0,1.0,0.8181818181818182,5.0,0.9485981308411215
1.0,3.0,1.0,0.8056426332288401,5.0,0.9626168224299065
1.0,4.0,1.0,0.8275862068965517,4.0,0.9398422090729783
1.0,5.0,1.0,0.8275862068965517,4.0,0.9447731755424064
1.0,6.0,1.0,0.8056426332288401,5.0,0.9626168224299065
1.0,7.0,1.0,0.8056426332288401,5.0,0.9766355140186916
1.0,8.0,1.0,0.8181818181818182,4.0,0.9497041420118343
1.0,9.0,1.0,0.8213166144200627,5.0,0.9532710280373832
1.0,10.0,6.0,0.8277511961722488,0.0,0.9459459459459459
1.0,11.0,1.0,0.8275862068965517,5.0,0.9485981308411215
1.0,12.0,1.0,0.8150470219435737,5.0,0.9672897196261683
1.0,13.0,6.0,0.8325358851674641,4.0,0.928007889546351
1.0,14.0,1.0,0.8275862068965517,4.0,0.9497041420118343
1.0,15.0,1.0,0.7774294670846394,5.0,0.9813084112149533
1.0,16.0,1.0,0.8401253918495298,0.0,0.9459459459459459
1.0,17.0,1.0,0.8181818181818182,5.0,0.9532710280373832
1.0,18.0,2.0,0.7897727272727273,5.0,0.9766355140186916
1.0,19.0,1.0,0.8432601880877743,5.0,0.9485981308411215
1.0,20.0,1.0,0.8369905956112853,5.0,0.9485981308411215
1.0,21.0,1.0,0.8307210031347962,5.0,0.9532710280373832
1.0,22.0,1.0,0.8087774294670846,5.0,0.9626168224299065
1.0,23.0,1.0,0.8307210031347962,5.0,0.9626168224299065
1.0,24.0,1.0,0.8307210031347962,5.0,0.9439252336448598
1.0,25.0,1.0,0.8432601880877743,0.0,0.9459459459459459
1.0,26.0,1.0,0.8150470219435737,4.0,0.9625246548323472
1.0,27.0,1.0,0.8181818181818182,5.0,0.9485981308411215
1.0,28.0,6.0,0.8277511961722488,0.0,0.963963963963964
1.0,29.0,1.0,0.8025078369905956,5.0,0.9719626168224299
1.0,30.0,1.0,0.8119122257053292,4.0,0.9575936883629191
1.0,31.0,1.0,0.8056426332288401,4.0,0.9635108481262328
1.0,32.0,1.0,0.8495297805642633,0.0,0.9369369369369369
1.0,33.0,1.0,0.8119122257053292,5.0,0.9532710280373832
1.0,34.0,1.0,0.8369905956112853,4.0,0.9388560157790927
1.0,35.0,1.0,0.8526645768025078,0.0,0.954954954954955
1.0,36.0,1.0,0.8244514106583072,5.0,0.9626168224299065
1.0,37.0,1.0,0.8244514106583072,5.0,0.9485981308411215
1.0,38.0,1.0,0.8244514106583072,5.0,0.9579439252336449
1.0,39.0,1.0,0.8401253918495298,5.0,0.9392523364485982
1.0,40.0,7.0,0.8177083333333334,0.0,0.954954954954955
1.0,41.0,1.0,0.8307210031347962,5.0,0.9485981308411215
1.0,42.0,1.0,0.8338557993730408,4.0,0.9487179487179487
1.0,43.0,1.0,0.8307210031347962,5.0,0.9485981308411215
1.0,44.0,1.0,0.8338557993730408,5.0,0.9532710280373832
1.0,45.0,1.0,0.8181818181818182,5.0,0.9579439252336449
1.0,46.0,1.0,0.8150470219435737,5.0,0.9579439252336449
1.0,47.0,1.0,0.8213166144200627,5.0,0.9626168224299065
1.0,48.0,1.0,0.8275862068965517,4.0,0.9477317554240631
1.0,49.0,1.0,0.8244514106583072,5.0,0.9485981308411215
1.0,50.0,1.0,0.8307210031347962,0.0,0.9459459459459459
1.0,51.0,1.0,0.8432601880877743,4.0,0.9358974358974359
1.0,52.0,1.0,0.8275862068965517,5.0,0.9579439252336449
1.0,53.0,1.0,0.8369905956112853,4.0,0.9477317554240631
1.0,54.0,1.0,0.8181818181818182,5.0,0.9532710280373832
1.0,55.0,1.0,0.8432601880877743,4.0,0.9477317554240631
1.0,56.0,1.0,0.8432601880877743,4.0,0.9428007889546351
1.0,57.0,1.0,0.8244514106583072,4.0,0.9487179487179487
2.0,0.0,1.0,0.8338557993730408,5.0,0.9532710280373832
2.0,1.0,1.0,0.8119122257053292,5.0,0.9626168224299065
2.0,2.0,1.0,0.8181818181818182,5.0,0.9532710280373832
2.0,3.0,1.0,0.8275862068965517,5.0,0.9626168224299065
2.0,4.0,7.0,0.828125,3.0,0.9492753623188406
2.0,5.0,1.0,0.8056426332288401,5.0,0.9672897196261683
2.0,6.0,1.0,0.8213166144200627,4.0,0.9536489151873767
2.0,7.0,1.0,0.8087774294670846,4.0,0.9674556213017751
2.0,8.0,1.0,0.8087774294670846,4.0,0.9674556213017751
2.0,9.0,1.0,0.8150470219435737,4.0,0.9585798816568047
2.0,10.0,1.0,0.8119122257053292,5.0,0.9626168224299065
2.0,11.0,1.0,0.8338557993730408,5.0,0.9579439252336449
2.0,12.0,1.0,0.8213166144200627,5.0,0.9532710280373832
2.0,13.0,1.0,0.8432601880877743,5.0,0.9439252336448598
2.0,14.0,1.0,0.8150470219435737,4.0,0.9497041420118343
2.0,15.0,1.0,0.8495297805642633,5.0,0.9439252336448598
2.0,16.0,1.0,0.8369905956112853,5.0,0.9532710280373832
2.0,17.0,1.0,0.8213166144200627,5.0,0.9485981308411215
2.0,18.0,1.0,0.8369905956112853,5.0,0.9439252336448598
2.0,19.0,1.0,0.8181818181818182,5.0,0.9579439252336449
2.0,20.0,1.0,0.8244514106583072,4.0,0.9536489151873767
2.0,21.0,1.0,0.8213166144200627,4.0,0.9516765285996055
2.0,22.0,1.0,0.8150470219435737,4.0,0.9664694280078896
2.0,23.0,1.0,0.8338557993730408,5.0,0.9532710280373832
2.0,24.0,1.0,0.8213166144200627,5.0,0.9579439252336449
2.0,25.0,1.0,0.8307210031347962,5.0,0.9532710280373832
2.0,26.0,1.0,0.8307210031347962,4.0,0.9457593688362919
2.0,27.0,1.0,0.8181818181818182,4.0,0.960552268244576
2.0,28.0,1.0,0.8463949843260188,5.0,0.9485981308411215
2.0,29.0,1.0,0.8213166144200627,5.0,0.9579439252336449
2.0,30.0,1.0,0.8119122257053292,5.0,0.9672897196261683
2.0,31.0,1.0,0.8244514106583072,5.0,0.9485981308411215
2.0,32.0,1.0,0.8369905956112853,5.0,0.9439252336448598
2.0,33.0,1.0,0.8432601880877743,0.0,0.9369369369369369
2.0,34.0,1.0,0.8275862068965517,5.0,0.9672897196261683
2.0,35.0,1.0,0.8087774294670846,4.0,0.9595660749506904
2.0,36.0,1.0,0.8213166144200627,4.0,0.9536489151873767
2.0,37.0,1.0,0.8150470219435737,4.0,0.9575936883629191
2.0,38.0,1.0,0.8338557993730408,5.0,0.9626168224299065
2.0,39.0,1.0,0.8275862068965517,4.0,0.9487179487179487
2.0,40.0,1.0,0.8307210031347962,4.0,0.9388560157790927
2.0,41.0,1.0,0.8213166144200627,5.0,0.9626168224299065
2.0,42.0,2.0,0.7897727272727273,5.0,0.9719626168224299
2.0,43.0,1.0,0.8275862068965517,5.0,0.9579439252336449
2.0,44.0,1.0,0.8369905956112853,5.0,0.9439252336448598
2.0,45.0,1.0,0.8401253918495298,0.0,0.954954954954955
2.0,46.0,1.0,0.8557993730407524,5.0,0.9439252336448598
2.0,47.0,1.0,0.8056426332288401,5.0,0.9719626168224299
2.0,48.0,1.0,0.8181818181818182,5.0,0.9672897196261683
2.0,49.0,1.0,0.8401253918495298,5.0,0.9532710280373832
2.0,50.0,1.0,0.8463949843260188,5.0,0.9439252336448598
2.0,51.0,1.0,0.8213166144200627,5.0,0.9672897196261683
2.0,52.0,6.0,0.84688995215311,5.0,0.9345794392523364
2.0,53.0,1.0,0.8401253918495298,5.0,0.9579439252336449
2.0,54.0,1.0,0.8150470219435737,4.0,0.9585798816568047
2.0,55.0,1.0,0.8338557993730408,5.0,0.9485981308411215
2.0,56.0,1.0,0.8307210031347962,5.0,0.9579439252336449
2.0,57.0,1.0,0.8307210031347962,5.0,0.9579439252336449
3.0,0.0,1.0,0.8213166144200627,4.0,0.9546351084812623
3.0,1.0,1.0,0.8463949843260188,0.0,0.9459459459459459
3.0,2.0,1.0,0.8275862068965517,5.0,0.9579439252336449
3.0,3.0,1.0,0.8181818181818182,5.0,0.9672897196261683
3.0,4.0,7.0,0.7916666666666666,3.0,0.9637681159420289
3.0,5.0,1.0,0.8244514106583072,5.0,0.9485981308411215
3.0,6.0,1.0,0.8181818181818182,5.0,0.9672897196261683
3.0,7.0,1.0,0.8401253918495298,5.0,0.9485981308411215
3.0,8.0,1.0,0.8181818181818182,5.0,0.9579439252336449
3.0,9.0,1.0,0.8150470219435737,5.0,0.9626168224299065
3.0,10.0,7.0,0.8385416666666666,3.0,0.9492753623188406
3.0,11.0,6.0,0.8421052631578947,5.0,0.9532710280373832
3.0,12.0,1.0,0.8244514106583072,5.0,0.9579439252336449
3.0,13.0,1.0,0.8213166144200627,5.0,0.9672897196261683
3.0,14.0,1.0,0.8401253918495298,0.0,0.9459459459459459
3.0,15.0,7.0,0.84375,3.0,0.9492753623188406
3.0,16.0,1.0,0.8369905956112853,4.0,0.9447731755424064
3.0,17.0,1.0,0.8275862068965517,5.0,0.9532710280373832
3.0,18.0,1.0,0.8275862068965517,5.0,0.9626168224299065
3.0,19.0,1.0,0.8526645768025078,5.0,0.9392523364485982
3.0,20.0,1.0,0.8244514106583072,5.0,0.9626168224299065
3.0,21.0,1.0,0.8369905956112853,0.0,0.9369369369369369
3.0,22.0,1.0,0.8119122257053292,5.0,0.9672897196261683
3.0,23.0,6.0,0.8373205741626795,0.0,0.9369369369369369
3.0,24.0,1.0,0.8401253918495298,5.0,0.9532710280373832
3.0,25.0,1.0,0.8557993730407524,4.0,0.9447731755424064
3.0,26.0,1.0,0.8150470219435737,4.0,0.9684418145956607
3.0,27.0,7.0,0.84375,0.0,0.954954954954955
3.0,28.0,1.0,0.8213166144200627,5.0,0.9626168224299065
3.0,29.0,1.0,0.8307210031347962,5.0,0.9626168224299065
3.0,30.0,1.0,0.8369905956112853,4.0,0.9467455621301775
3.0,31.0,1.0,0.8401253918495298,4.0,0.9437869822485208
3.0,32.0,1.0,0.8150470219435737,4.0,0.960552268244576
3.0,33.0,1.0,0.8056426332288401,4.0,0.9684418145956607
3.0,34.0,1.0,0.8495297805642633,0.0,0.9459459459459459
3.0,35.0,1.0,0.8150470219435737,4.0,0.9644970414201184
3.0,36.0,1.0,0.8150470219435737,5.0,0.9672897196261683
3.0,37.0,1.0,0.8119122257053292,5.0,0.9672897196261683
3.0,38.0,1.0,0.8526645768025078,5.0,0.9485981308411215
3.0,39.0,1.0,0.8150470219435737,5.0,0.9579439252336449
3.0,40.0,1.0,0.8244514106583072,4.0,0.9694280078895463
3.0,41.0,1.0,0.8244514106583072,5.0,0.9579439252336449
3.0,42.0,1.0,0.8244514106583072,5.0,0.9532710280373832
3.0,43.0,6.0,0.84688995215311,4.0,0.9388560157790927
3.0,44.0,1.0,0.8150470219435737,5.0,0.9579439252336449
3.0,45.0,1.0,0.8244514106583072,4.0,0.960552268244576
3.0,46.0,1.0,0.8432601880877743,5.0,0.9579439252336449
3.0,47.0,1.0,0.8213166144200627,5.0,0.9672897196261683
3.0,48.0,1.0,0.8307210031347962,4.0,0.9536489151873767
3.0,49.0,1.0,0.8307210031347962,5.0,0.9532710280373832
3.0,50.0,1.0,0.8463949843260188,5.0,0.9345794392523364
3.0,51.0,1.0,0.8244514106583072,5.0,0.9579439252336449
3.0,52.0,1.0,0.8275862068965517,5.0,0.9579439252336449
3.0,53.0,1.0,0.8338557993730408,5.0,0.9532710280373832
3.0,54.0,1.0,0.8432601880877743,5.0,0.9439252336448598
3.0,55.0,1.0,0.8338557993730408,5.0,0.9579439252336449
3.0,56.0,1.0,0.8150470219435737,5.0,0.9626168224299065
3.0,57.0,1.0,0.8338557993730408,5.0,0.9532710280373832
4.0,0.0,1.0,0.8150470219435737,5.0,0.9626168224299065
4.0,1.0,1.0,0.8119122257053292,5.0,0.9672897196261683
4.0,2.0,1.0,0.8181818181818182,5.0,0.9672897196261683
4.0,3.0,6.0,0.8421052631578947,0.0,0.9369369369369369
4.0,4.0,1.0,0.8338557993730408,5.0,0.9485981308411215
4.0,5.0,1.0,0.8463949843260188,5.0,0.9485981308411215
4.0,6.0,1.0,0.8369905956112853,4.0,0.9516765285996055
4.0,7.0,1.0,0.8307210031347962,5.0,0.9626168224299065
4.0,8.0,1.0,0.8275862068965517,5.0,0.9626168224299065
4.0,9.0,1.0,0.8307210031347962,4.0,0.9536489151873767
4.0,10.0,1.0,0.8526645768025078,0.0,0.9459459459459459
4.0,11.0,1.0,0.786833855799373,5.0,0.9766355140186916
4.0,12.0,6.0,0.8564593301435407,0.0,0.954954954954955
4.0,13.0,1.0,0.8338557993730408,5.0,0.9485981308411215
4.0,14.0,1.0,0.8369905956112853,4.0,0.9467455621301775
4.0,15.0,7.0,0.8385416666666666,5.0,0.9392523364485982
4.0,16.0,1.0,0.8307210031347962,5.0,0.9579439252336449
4.0,17.0,1.0,0.8432601880877743,4.0,0.9467455621301775
4.0,18.0,1.0,0.8275862068965517,5.0,0.9579439252336449
4.0,19.0,1.0,0.8025078369905956,5.0,0.9766355140186916
4.0,20.0,1.0,0.8432601880877743,5.0,0.9579439252336449
4.0,21.0,1.0,0.8495297805642633,5.0,0.9439252336448598
4.0,22.0,1.0,0.8181818181818182,4.0,0.965483234714004
4.0,23.0,1.0,0.8557993730407524,0.0,0.9369369369369369
4.0,24.0,7.0,0.84375,5.0,0.9392523364485982
4.0,25.0,1.0,0.8181818181818182,5.0,0.9672897196261683
4.0,26.0,1.0,0.8463949843260188,5.0,0.9439252336448598
4.0,27.0,6.0,0.8229665071770335,3.0,0.9492753623188406
4.0,28.0,1.0,0.8432601880877743,4.0,0.9447731755424064
4.0,29.0,1.0,0.8244514106583072,5.0,0.9672897196261683
4.0,30.0,1.0,0.8119122257053292,4.0,0.965483234714004
4.0,31.0,1.0,0.8181818181818182,4.0,0.965483234714004
4.0,32.0,1.0,0.8275862068965517,5.0,0.9532710280373832
4.0,33.0,1.0,0.8369905956112853,5.0,0.9485981308411215
4.0,34.0,7.0,0.8489583333333334,5.0,0.9439252336448598
4.0,35.0,1.0,0.8150470219435737,4.0,0.9635108481262328
4.0,36.0,1.0,0.8463949843260188,5.0,0.9392523364485982
4.0,37.0,1.0,0.8307210031347962,4.0,0.960552268244576
4.0,38.0,1.0,0.8432601880877743,5.0,0.9439252336448598
4.0,39.0,1.0,0.8369905956112853,5.0,0.9532710280373832
4.0,40.0,1.0,0.8369905956112853,5.0,0.9485981308411215
4.0,41.0,1.0,0.8463949843260188,5.0,0.9485981308411215
4.0,42.0,1.0,0.8244514106583072,4.0,0.9546351084812623
4.0,43.0,6.0,0.8516746411483254,3.0,0.9420289855072463
4.0,44.0,1.0,0.8432601880877743,4.0,0.9447731755424064
4.0,45.0,1.0,0.8401253918495298,5.0,0.9485981308411215
4.0,46.0,1.0,0.8244514106583072,5.0,0.9626168224299065
4.0,47.0,1.0,0.8401253918495298,5.0,0.9579439252336449
4.0,48.0,1.0,0.8338557993730408,4.0,0.9536489151873767
4.0,49.0,6.0,0.8564593301435407,0.0,0.9459459459459459
4.0,50.0,1.0,0.8401253918495298,5.0,0.9532710280373832
4.0,51.0,1.0,0.8307210031347962,5.0,0.9626168224299065
4.0,52.0,1.0,0.8401253918495298,5.0,0.9532710280373832
4.0,53.0,1.0,0.8369905956112853,4.0,0.9457593688362919
4.0,54.0,1.0,0.8307210031347962,5.0,0.9579439252336449
4.0,55.0,1.0,0.8275862068965517,5.0,0.9672897196261683
4.0,56.0,1.0,0.8369905956112853,5.0,0.9532710280373832
4.0,57.0,1.0,0.8432601880877743,4.0,0.9398422090729783
5.0,0.0,1.0,0.8401253918495298,5.0,0.9532710280373832
5.0,1.0,1.0,0.8244514106583072,4.0,0.9644970414201184
5.0,2.0,1.0,0.8275862068965517,4.0,0.960552268244576
5.0,3.0,1.0,0.8401253918495298,3.0,0.9420289855072463
5.0,4.0,1.0,0.8213166144200627,4.0,0.9575936883629191
5.0,5.0,1.0,0.8150470219435737,4.0,0.9595660749506904
5.0,6.0,1.0,0.8369905956112853,5.0,0.9439252336448598
5.0,7.0,1.0,0.8244514106583072,5.0,0.9579439252336449
5.0,8.0,1.0,0.8369905956112853,4.0,0.9516765285996055
5.0,9.0,1.0,0.8275862068965517,5.0,0.9579439252336449
5.0,10.0,1.0,0.8150470219435737,4.0,0.9615384615384616
5.0,11.0,1.0,0.8401253918495298,0.0,0.9369369369369369
5.0,12.0,1.0,0.8307210031347962,4.0,0.9526627218934911
5.0,13.0,1.0,0.8401253918495298,5.0,0.9626168224299065
5.0,14.0,1.0,0.8369905956112853,4.0,0.9506903353057199
5.0,15.0,1.0,0.8369905956112853,5.0,0.9579439252336449
5.0,16.0,1.0,0.8150470219435737,4.0,0.960552268244576
5.0,17.0,1.0,0.8307210031347962,5.0,0.9579439252336449
5.0,18.0,1.0,0.8307210031347962,4.0,0.9585798816568047
5.0,19.0,1.0,0.8369905956112853,5.0,0.9485981308411215
5.0,20.0,1.0,0.8244514106583072,4.0,0.9595660749506904
5.0,21.0,1.0,0.8244514106583072,4.0,0.9595660749506904
5.0,22.0,1.0,0.8181818181818182,5.0,0.9672897196261683
5.0,23.0,1.0,0.8244514106583072,5.0,0.9532710280373832
5.0,24.0,1.0,0.8213166144200627,5.0,0.9626168224299065
5.0,25.0,1.0,0.8369905956112853,5.0,0.9439252336448598
5.0,26.0,1.0,0.8401253918495298,5.0,0.9485981308411215
5.0,27.0,1.0,0.8307210031347962,4.0,0.9566074950690335
5.0,28.0,1.0,0.8275862068965517,5.0,0.9579439252336449
5.0,29.0,1.0,0.8401253918495298,5.0,0.9485981308411215
5.0,30.0,1.0,0.8338557993730408,5.0,0.9532710280373832
5.0,31.0,1.0,0.8275862068965517,5.0,0.9532710280373832
5.0,32.0,1.0,0.8401253918495298,5.0,0.9532710280373832
5.0,33.0,1.0,0.8432601880877743,4.0,0.9378698224852071
5.0,34.0,1.0,0.8307210031347962,5.0,0.9532710280373832
5.0,35.0,1.0,0.8401253918495298,5.0,0.9532710280373832
5.0,36.0,1.0,0.8150470219435737,4.0,0.9585798816568047
5.0,37.0,1.0,0.8369905956112853,5.0,0.9532710280373832
5.0,38.0,1.0,0.8432601880877743,0.0,0.9459459459459459
5.0,39.0,1.0,0.8338557993730408,5.0,0.9485981308411215
5.0,40.0,6.0,0.8373205741626795,0.0,0.9369369369369369
5.0,41.0,1.0,0.8338557993730408,5.0,0.9579439252336449
5.0,42.0,1.0,0.8401253918495298,5.0,0.9392523364485982
5.0,43.0,1.0,0.8181818181818182,5.0,0.9626168224299065
5.0,44.0,1.0,0.8275862068965517,5.0,0.9672897196261683
5.0,45.0,1.0,0.8307210031347962,5.0,0.9532710280373832
5.0,46.0,1.0,0.8244514106583072,4.0,0.9635108481262328
5.0,47.0,1.0,0.8369905956112853,4.0,0.9575936883629191
5.0,48.0,1.0,0.8307210031347962,5.0,0.9532710280373832
5.0,49.0,1.0,0.8463949843260188,4.0,0.9418145956607495
5.0,50.0,1.0,0.8338557993730408,5.0,0.9532710280373832
5.0,51.0,1.0,0.8401253918495298,5.0,0.9579439252336449
5.0,52.0,1.0,0.8401253918495298,5.0,0.9532710280373832
5.0,53.0,1.0,0.8495297805642633,0.0,0.9459459459459459
5.0,54.0,1.0,0.8275862068965517,5.0,0.9626168224299065
5.0,55.0,1.0,0.8526645768025078,5.0,0.9392523364485982
5.0,56.0,1.0,0.8432601880877743,5.0,0.9485981308411215
5.0,57.0,1.0,0.8338557993730408,5.0,0.9579439252336449
6.0,0.0,1.0,0.8401253918495298,5.0,0.9439252336448598
6.0,1.0,1.0,0.8119122257053292,4.0,0.9714003944773175
